Game,Track title,Franchise,Year,Platform,Company,tag meter,tag tonality,arpeggiated,tag reverb,tag drums,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15
Stardew Valley,"""Winter Festival""",n/a,2016,multiplatform:multiplatform,Chucklefish,2,major:majorish,arpeggiated,high reverb,no_drums,sleigh_bells:metallic_percussion,pizz_strings:strings:plucked_strings,strings:strings,harp:plucked_strings:strings,flute:woodwinds,chimes:metallic_percussion:percussion,horn:brass,Christmas,tuba:brass,,,,,,
Stardew Valley,"""Icicles""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,arpeggiated,high reverb,rock,chiptune,drumset:drums,synth_bass:synth:bass,synth_lead:synth,,,,,,,,,,,
Stardew Valley,"""Cloth""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,--,high reverb,no_drums,piano,analog_synth:synth,flute:woodwinds,,,,,,,,,,,,
Stardew Valley,"""Visitor to the Unknown""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,dorian:modal:minorish,arpeggiated,high reverb,rock,electric_bass:bass,treble_vocal_synth:vocals:synth,gliss,electric_guitar:guitar,pan_flute:woodwinds,drumset:drums,analog_synth:synth,glockenspiel:metallic_percussion:percussion,,,,,,,
Banshee's Last Cry,"""Visions of a Distant Day""",n/a,1994,SNES:Nintendo,Chunsoft,4,aeolian:modal:minorish,arpeggiated,high reverb,no_drums,celesta:metallic_percussion:percussion,strings:strings,flute:woodwinds,,,,,,,,,,,,
Celeste,"""My Dearest Friends""",n/a,2018,multiplatform:multiplatform,Extremely OK Games,4,major:majorish,arpeggiated,high reverb,no_drums,piano:piano,extended_tertian,sine_wave:synth,lament,,,,,,,,,,,
Gurumin,"""Jun Jun Jungle Gym""",n/a,2004,computer:computer,Falcom,4,aeolian:modal:minorish,--,high reverb,breakbeat,electric_guitar:guitar,flute:woodwinds,gamelan:metallic_percussion:percussion,detuned,drumset:drums,electric_bass:bass,whistle,agogo_bells:metallic_percussion:percussion,electric_organ:organ,,,,,,
Runescape 3,"""Snowdrops""",n/a,2013,computer:computer,Jagex,4,aeolian:modal:minorish,arpeggiated,high reverb,no_drums,orchestra,strings:strings,horn:brass,cymbals:metallic_percussion:percussion,piano,recorder:woodwinds,oboe:woodwinds,clarinet:woodwinds,,,,,,,
Kantai Collection,"""Winter Fleet""",n/a,2013,computer:computer,Kadokawa Games,12,major:majorish,arpeggiated,high reverb,military,orchestra,oboe:woodwinds,glockenspiel:metallic_percussion:percussion,flute:woodwinds,sleigh_bells:metallic_percussion,harp:plucked_strings:strings,trumpet:brass,wind_chimes:metallic_percussion:percussion,cymbals:metallic_percussion:percussion,Christmas,snare:drums:percussion,pizz_strings:strings:plucked_strings,piccolo:woodwinds,,
Gradius Gaiden,"""Snowfield""",n/a,1997,PlayStation:Sony,Konami,4,major:majorish,arpeggiated,high reverb,rock,drumset:drums,synth_pad:synth,sweeps,electric_guitar:guitar,strings:strings,,,,,,,,,,
Soma Bringer,"""Village of Snow""",n/a,2008,Nintendo DS:Nintendo,Monolith Soft,4,major:majorish,--,low reverb,--,accordion,xylophone:percussion,pizz_strings:strings:plucked_strings,glockenspiel:metallic_percussion:percussion,piano,harpsichord:plucked_strings,electric_bass:bass,lament,clarinet:woodwinds,rapid_notes,,,,,
Yooka-Laylee,"""Glitterglaze Glacier""",n/a,2017,multiplatform:multiplatform,Playtonic Games,4,major:majorish,arpeggiated,high reverb,no_drums,pizz_strings:strings:plucked_strings,glockenspiel:metallic_percussion:percussion,flute:woodwinds,horn:brass,chromatic_mediants,minor_iv,clarinet:woodwinds,harp:plucked_strings:strings,,,,,,,
Ristar the Shooting Star,"""Ring Rink, Planet Freon""",n/a,1995,Sega Genesis:Sega,Sega,4,major:majorish,--,high reverb,rock,chimes:metallic_percussion:percussion,,synth_lead:synth,80s,chiptune,glockenspiel:metallic_percussion:percussion,synth_brass:synth:brass,,,,,,,,
Castle Crashers,"""Winter Bliss""",n/a,2008,Xbox 360:Microsoft,The Behemoth,4,aeolian:modal:minorish,arpeggiated,high reverb,EDM,synth_pad:synth,four_on_the_floor,synth_bass:synth:bass,synth_lead:synth,sweeps,strings:strings,drumset:drums,,,,,,,,
Scott Pilgrim Vs. The World: The Game,"""Another Winter""",n/a,2010,multiplatform:multiplatform,Ubisoft,4,major:majorish,--,high reverb,rock,electric_guitar:guitar,synth_lead:synth,square_wave:synth,drumset:drums,,,,,,,,,,,
Overcooked! The Festive Seasoning,"""Menu Music""",Overcooked,2016,multiplatform:multiplatform,Team17,3,major:majorish,arpeggiated,high reverb,no_drums,treble_vocals:vocals,choir:vocals,Christmas,flute:woodwinds,horn:brass,celesta:metallic_percussion:percussion,harp:plucked_strings:strings,glockenspiel:metallic_percussion:percussion,strings,cymbals:metallic_percussion:percussion,trumpet:brass,,,,
Overcooked! 2,"""Kevin’s Christmas Cracker Map""",Overcooked,2018,multiplatform:multiplatform,Team17,6,major:majorish,--,high reverb,rock,acoustic_guitar:guitar:plucked_strings,piano:piano,brass:brass,clarinet:woodwinds,glockenspiel:metallic_percussion:percussion,chimes:metallic_percussion:percussion,pizz_strings:strings:plucked_strings,orchestra,sleigh_bells:metallic_percussion,Christmas,,,,,
Overcooked! 2,"""Kevin’s Christmas Cracker Level""",Overcooked,2018,multiplatform:multiplatform,Team17,4,major:majorish,arpeggiated,high reverb,train,orchestra,chimes:metallic_percussion:percussion,clarinet:woodwinds,glockenspiel:metallic_percussion:percussion,xylophone:percussion,strings:strings,brass:brass,Christmas,,,,,,,
Overcooked! The Festive Seasoning,"""Level""",Overcooked,2016,multiplatform:multiplatform,Team17,4,minor:minorish,arpeggiated,high reverb,no_drums,strings:strings,glockenspiel:metallic_percussion:percussion,,Christmas,,,,,,,,,,,
Overcooked! The Festive Seasoning,"""Onion Wildfire""",Overcooked,2016,multiplatform:multiplatform,Team17,4,minor:minorish,arpeggiated,high reverb,no_drums,wind_effect,treble_vocals:vocals,harp:plucked_strings:strings,strings:strings,celesta:metallic_percussion:percussion,flute:woodwinds,horn:brass,orchestra,Christmas,,,,,,
Persona 3,"""Memories of the City""",Persona,2006,PlayStation 2:Sony,Atlus,4,minor:minorish,--,high reverb,rock,piano:piano,strings:strings,electric_guitar:guitar,drumset:drums,,,,,,,,,,,
Revelations: Persona,"""Snow Queen""",Persona,1996,PlayStation:Sony,Atlus,6,minor:minorish,arpeggiated,high reverb,no_drums,strings:strings,electric_piano:metallic_percussion:piano,chimes:metallic_percussion:percussion,harp:plucked_strings:strings,celesta:metallic_percussion:percussion,lament,glockenflute:metallic_percussion:percussion:woodwinds,,,,,,,,
Persona 3 FES,"""The Snow Queen""",Persona,2008,PlayStation 2:Sony,Atlus,4,aeolian:modal:minorish,arpeggiated,high reverb,EDM,synth_bass:synth:bass,electric_piano:metallic_percussion:piano,piano:piano,synth_pad:synth,electric_guitar:guitar,synth_arp:synth,,,,,,,,,
Revelations: Persona,"""Ice Castle""",Persona,1996,PlayStation:Sony,Atlus,4,minor:minorish,--,high reverb,rock,treble_vocal_synth:vocals:synth,piano,electric_guitar:guitar,drumset:drums,marimba:percussion,handclaps:drums,sleigh_bells:metallic_percussion,,,,,,,,
Persona 4,"""Snowflakes""",Persona,2012,PlayStation Vita:Sony,Atlus,4,major:majorish,--,high reverb,rock,treble_vocals,strings:strings,piano,electric_bass:bass,,,,,,,,,,,
Persona 4,"""Christmas Eve""",Persona,2012,PlayStation Vita:Sony,Atlus,4,major:majorish,arpeggiated,low reverb,rock,synth_lead:synth,drumset:drums,piano:piano,electric_guitar:guitar,electric_bass:bass,Christmas,,,,,,,,,
Persona 5,"""Christmas Eve [out]""",Persona,2016,PlayStation 4:Sony,Atlus,4,major:majorish,--,high reverb,rock,electric_organ:organ,drumset:drums,electric_bass:bass,Christmas,,,,,,,,,,,
Persona 5,"""Christmas Eve [in]""",Persona,2016,PlayStation 4:Sony,Atlus,4,major:majorish,--,high reverb,rock,electric_organ:organ,drumset:drums,electric_bass:bass,Christmas,,,,,,,,,,,
Pikmin 3,"""Fortress of Festivity!""",Pikmin,2013,Nintendo Wii U:Nintendo,Nintendo,4,mixolydian:modal:majorish,,high reverb,rock,drumset:drums,synth_lead:synth,harpsichord:plucked_strings,crotales:metallic_percussion:percussion,glockenspiel:metallic_percussion:percussion,celesta:metallic_percussion:percussion,vocal_synth:vocals,Christmas,,,,,,,
Pokémon Mystery Dungeon: Explorers of Sky,"""Vast Ice Mountain Peak""",Pokémon,2007,Nintendo DS:Nintendo,Chunsoft,4,major:majorish,arpeggiated,high reverb,rock,80s,electric_piano:metallic_percussion:piano,choral_synth:synth:vocals,flute:woodwinds,violin:strings,chimes:metallic_percussion:percussion,glockenspiel:metallic_percussion:percussion,timpani:drums:percussion,chimes:metallic_percussion:percussion,lament,synth_bass:synth:bass,,,,
Pokémon Mystery Dungeon: Gates to Infinity,"""Glacier Palace (Great Spire)""",Pokémon,2012,Nintendo 3DS:Nintendo,Chunsoft,4,dorian:modal:minorish,--,high reverb,train,orchestra,flute:woodwinds,harp:plucked_strings:strings,strings:strings,choir:vocals,horn:brass,timpani:drums:percussion,wind_chimes:metallic_percussion:percussion,chimes:metallic_percussion:percussion,cymbals:metallic_percussion:percussion,electric_piano:metallic_percussion:piano,pizz_strings:strings:plucked_strings,glockenspiel:metallic_percussion:percussion,,
Pokémon Mystery Dungeon: Gates to Infinity,"""Great Glacier""",Pokémon,2012,Nintendo 3DS:Nintendo,Chunsoft,4,major:majorish,--,high reverb,military,chimes:metallic_percussion:percussion,strings:strings,flute:woodwinds,rapid_notes,pennywhistle:woodwinds,glockenspiel:metallic_percussion:percussion,orchestra,,,,,,,,
Pokémon X/Y,"""Snowbelle City""",Pokémon,2013,Nintendo 3DS:Nintendo,Game Freak,12,minor:minorish,arpeggiated,high reverb,military,lament,glockenspiel:metallic_percussion:percussion,strings:strings,piano:piano,horn:brass,sleigh_bells:metallic_percussion,flute:woodwinds,snare:drums:percussion,cymbals:metallic_percussion:percussion,orchestra,castanets:auxiliary_percussion:percussion,,,,
Pokémon Diamond/Pearl,"""Route 216""",Pokémon,2006,Nintendo DS:Nintendo,Game Freak,4,major:majorish,arpeggiated,high reverb,shuffle,saxophone:woodwinds,synth_bass:synth:bass,electric_piano:metallic_percussion:piano,piano,sleigh_bells:metallic_percussion,chimes:metallic_percussion:percussion,strings:strings,synth_lead:synth,electric_organ:organ,,,,,,
Pokémon Diamond/Pearl,"""Mt. Coronet""",Pokémon,2006,Nintendo DS:Nintendo,Game Freak,4,dorian:modal:minorish,--,high reverb,rock,piano,electric_piano:metallic_percussion:piano,strings:strings,drumset:drums,rapid_notes,shaker:auxiliary_percussion,electric_bass:bass,,,,,,,,
Pokémon Diamond/Pearl,"""Route 216 (Night)""",Pokémon,2006,Nintendo DS:Nintendo,Game Freak,12,major:majorish,--,high reverb,shuffle,synth_bass:synth:bass,piano,electric_piano:metallic_percussion:piano,electric_guitar:guitar,tambourine:metallic_percussion:percussion,shaker:auxiliary_percussion,drumset:drums,electric_organ:organ,sleigh_bells:metallic_percussion,chimes:metallic_percussion:percussion,synth_brass:synth:brass,xylophone:percussion,,,
PoPoLoCRoIS Monogatari,"""Northern World""",Popolocrois,1996,PlayStation:Sony,epics,4,major:majorish,--,high reverb,--,wind_chimes:metallic_percussion:percussion,synth_brass:synth:brass,,choral_synth:synth:vocals,,,,,,,,,,,
Rune Factory: A Fantasy Harvest Moon,"""Winter""",Rune Factory,2006,Nintendo DS:Nintendo,Neverland,12,major:majorish,arpeggiated,high reverb,no_drums,harp:plucked_strings:strings,glockenspiel:metallic_percussion:percussion,treble_vocal_synth:vocals:synth,choral_synth:synth:vocals,strings:strings,acoustic_guitar:guitar:plucked_strings,triangle:metallic_percussion:percussion,4,,,,,,,
Rune Factory 2,"""Winter""",Rune Factory,2008,Nintendo DS:Nintendo,Neverland,6,major:majorish,arpeggiated,high reverb,,acoustic_guitar:guitar:plucked_strings,crotales:metallic_percussion:percussion,electric_bass:bass,woodblock:auxiliary_percussion,organ:organ,,,,,,,,,,
Romancing SaGa 3,"""Boundaries""",SaGa,1995,SNES:Nintendo,Square Enix,4,minor:minorish,--,high reverb,--,treble_vocal_synth:vocals:synth,flute:woodwinds,tom_toms:drums:percussion,celesta:metallic_percussion:percussion,bass_drum:drums,,,,,,,,,,
Unlimited Saga,"""Theme for Laura""",SaGa,2002,PlayStation 2:Sony,Square Enix,3,minor:minorish,arpeggiated,high reverb,--,flute:woodwinds,piano:piano,strings:strings,celesta:metallic_percussion:percussion,chimes:metallic_percussion:percussion,harp:plucked_strings:strings,orchestra,,,,,,,,
SaGa Frontier 2,"""Naturvolk""",SaGa,1999,PlayStation:Sony,Square Enix,4,lydian:modal:majorish,arpeggiated,high reverb,--,piano,pizz_strings:strings:plucked_strings,oboe:woodwinds,strings:strings,shaker:auxiliary_percussion,cymbals:metallic_percussion:percussion,celesta:metallic_percussion:percussion,hand_drums:drums,,,,,,,
Sonic the Hedgehog 3,"""Ice Cap Zone""",Sonic,1994,Sega Genesis:Sega,Sega,4,aeolian:modal:minorish,arpeggiated,high reverb,rock,synth:synth,flute:woodwinds,80s,synth_bass:synth:bass,,,,,,,,,,,
Christmas Nights into Dreams,"""Jack Frost's Chime""",Sonic,1996,Sega Saturn:Sega,Sega,4,major:majorish,--,high reverb,rock,pizz_strings:strings:plucked_strings,accordion,drumset:drums,strings:strings,electric_piano:metallic_percussion:piano,polka,electric_organ:organ,electric_bass:bass,harpsichord:plucked_strings,glockenspiel:metallic_percussion:percussion,Christmas,,,,
Sonic Unleashed,"""Cool Edge (Day)""",Sonic,2008,multiplatform:multiplatform,Sonic Team,4,major:majorish,--,high reverb,rock,electric_guitar:guitar,breakbeat,electric_bass:bass,synth_pad:synth,sweeps,,,,,,,,,,
Sonic Unleashed,"""Cool Edge (Night)""",Sonic,2008,multiplatform:multiplatform,Sonic Team,4,phrygian:modal:minorish,--,high reverb,EDM,crotales:metallic_percussion:percussion,treble_vocal_synth:vocals:synth,kalimba:metallic_percussion:percussion,synth_bass:synth:bass,synth_brass:synth:brass,drumset:drums,strings:strings,piano:piano,lament,accordion,gliss,,,,
Harvest Moon 64,"""New Year’s Eve""",Story of Seasons,1999,Nintendo 64:Nintendo,Marvelous,4,major:majorish,arpeggiated,low reverb,,drumset:drums,flute:woodwinds,harp:plucked_strings:strings,piano:piano,acoustic_guitar:guitar:plucked_strings,strings:strings,,,,,,,,,
Harvest Moon 64,"""Starry Night Festival""",Story of Seasons,1999,Nintendo 64:Nintendo,Marvelous,4,dorian:modal:minorish,arpeggiated,low reverb,,tambourine:metallic_percussion:percussion,marimba:percussion,cowbell:metallic_percussion:percussion,flute:woodwinds,woodblock:auxiliary_percussion,strings:strings,,,,,,,,,
Harvest Moon 64,"""Winter Season""",Story of Seasons,1999,Nintendo 64:Nintendo,Marvelous,3,minor:minorish,arpeggiated,low reverb,waltz,sleigh_bells:metallic_percussion,lament,marimba:percussion,accordion,strings:strings,guiro:auxiliary_percussion:percussion,clarinet:woodwinds,,,,,,,,
Harvest Moon: A Wonderful Life,"""Quiet Winter""",Story of Seasons,2003,Nintendo GameCube:Nintendo,Marvelous,3,major:majorish,arpeggiated,low reverb,,harp:plucked_strings:strings,pizz_strings:strings:plucked_strings,acoustic_guitar:guitar:plucked_strings,tambourine:metallic_percussion:percussion,electric_piano:metallic_percussion:piano,shaker:auxiliary_percussion,hand_drums:drums,,,,,,,,
Harvest Moon DS,"""Winter""",Story of Seasons,2005,Nintendo DS:Nintendo,Marvelous,4,lydian:modal:majorish,--,high reverb,no_drums,piano,tambourine:metallic_percussion:percussion,sleigh_bells:metallic_percussion,flute:woodwinds,wind_chimes:metallic_percussion:percussion,pizz_strings:strings:plucked_strings,oboe:woodwinds,,,,,,,,
Harvest Moon: Back to Nature,"""Winter""",Story of Seasons,1999,PlayStation:Sony,Marvelous,4,major:majorish,--,low reverb,,strings:strings,,,,,,,,,,,,,,
Harvest Moon 3D: A New Beginning,"""Winter""",Story of Seasons,2012,Nintendo 3DS:Nintendo,Marvelous,4,major:majorish,--,low reverb,no_drums,sleigh_bells:metallic_percussion,glockenspiel:metallic_percussion:percussion,strings:strings,flute:woodwinds,chimes:metallic_percussion:percussion,,,,,,,,,,
Harvest Moon,"""Winter""",Story of Seasons,1996,SNES:Nintendo,Marvelous,3,minor:minorish,--,high reverb,,accordion,horn:brass,strings:strings,,,,,,,,,,,,
Harvest Moon: Magical Melody,"""Winter""",Story of Seasons,2005,Nintendo GameCube:Nintendo,Marvelous,4,major:majorish,--,high reverb,--,hand_drums:drums,crotales:metallic_percussion:percussion,strings:strings,tambourine:metallic_percussion:percussion,harp:plucked_strings:strings,clarinet:woodwinds,triangle:metallic_percussion:percussion,,,,,,,,
Harvest Moon: Save the Homeland,"""Winter (Farm)""",Story of Seasons,2001,PlayStation 2:Sony,Marvelous,3,major:majorish,arpeggiated,high reverb,no_drums,crotales:metallic_percussion:percussion,flute:woodwinds,pizz_strings:strings:plucked_strings,,,,,,,,,,,,
Harvest Moon: Save the Homeland,"""Winter (Town)""",Story of Seasons,2001,PlayStation 2:Sony,Marvelous,4,major:majorish,--,high reverb,rock,pan_flute:woodwinds,tambourine:metallic_percussion:percussion,drumset:drums,pizz_strings:strings:plucked_strings,strings:strings,harp:plucked_strings:strings,trumpet:brass,horn:brass,,,,,,,
Harvest Moon: Tree of Tranquility,"""Winter""",Story of Seasons,2007,Nintendo Wii:Nintendo,Marvelous,6,major:majorish,arpeggiated,high reverb,--,piano,sine_wave:synth,strings:strings,drumset:drums,wind_chimes:metallic_percussion:percussion,toy_piano:metallic_percussion:piano,synth_bass:synth:bass,choral_synth:synth:vocals,,,,,,,
Harvest Moon: Animal Parade,"""Winter (Day)""",Story of Seasons,2008,Nintendo Wii:Nintendo,Marvelous,4,major:majorish,arpeggiated,high reverb,--,glockenflute:metallic_percussion:percussion:woodwinds,drumset:drums,strings:strings,harp:plucked_strings:strings,treble_vocal_synth:vocals:synth,piano,oboe:woodwinds,acoustic_bass:bass,,,,,,,
Harvest Moon: Animal Parade,"""Winter (Night)""",Story of Seasons,2008,Nintendo Wii:Nintendo,Marvelous,4,major:majorish,arpeggiated,high reverb,no_drums,cymbals:metallic_percussion:percussion,vibraphone:metallic_percussion:percussion,electric_organ:organ,electric_piano:metallic_percussion:piano,clarinet:woodwinds,treble_vocal_synth:vocals:synth,tambourine:metallic_percussion:percussion,acoustic_bass:bass,,,,,,,
Harvest Moon: Hero of Leaf Valley,"""Winter""",Story of Seasons,2009,PlayStation Portable:Sony,Marvelous,3,major:majorish,arpeggiated,high reverb,no_drums,minor_iv,flute:woodwinds,vibraphone:metallic_percussion:percussion,acoustic_guitar:guitar:plucked_strings,clarinet:woodwinds,triangle:metallic_percussion:percussion,tambourine:metallic_percussion:percussion,glockenflute:metallic_percussion:percussion:woodwinds,,,,,,,
Harvest Moon: Friends of Mineral Town,"""Winter""",Story of Seasons,2003,Nintendo GameBoy Advance:Nintendo,Marvelous,4,minor:minorish,--,low reverb,no_drums,strings:strings,lament,,,,,,,,,,,,,
Harvest Moon DS: Island of Happiness,"""Winter""",Story of Seasons,2007,Nintendo DS:Nintendo,Marvelous,4,major:majorish,arpeggiated,low reverb,no_drums,sleigh_bells:metallic_percussion,pizz_strings:strings:plucked_strings,strings:strings,piano,electric_piano:metallic_percussion:piano,flute:woodwinds,,,,,,,,,
Harvest Moon DS: Sunshine Islands,"""Winter""",Story of Seasons,2008,Nintendo DS:Nintendo,Marvelous,4,major:majorish,arpeggiated,low reverb,shuffle,xylophone:percussion,accordion,hand_drums:drums,electric_piano:metallic_percussion:piano,sleigh_bells:metallic_percussion,flute:woodwinds,electric_organ:organ,drumset:drums,acoustic_bass:bass,guiro:auxiliary_percussion:percussion,,,,,
Harvest Moon: The Tale of Two Towns,"""Winter""",Story of Seasons,2010,Nintendo DS:Nintendo,Marvelous,4,major:majorish,--,low reverb,Latin jazz,pan_flute:woodwinds,oboe:woodwinds,sleigh_bells:metallic_percussion,strings:strings,acoustic_guitar:guitar:plucked_strings,hand_drums:drums,shaker:auxiliary_percussion,,,,,,,,
Harvest Moon: Lost Valley,"""Winter (Day)""",Story of Seasons,2014,Nintendo 3DS:Nintendo,Natsume,4,major:majorish,arpeggiated,high reverb,no_drums,flute:woodwinds,acoustic guitar:guitar:plucked_strings,wind_chimes:metallic_percussion:percussion,tambourine:metallic_percussion:percussion,synth_arp:synth,synth_lead:synth,square_wave:synth,,,,,,,,
Harvest Moon: Lost Valley,"""Winter (Night)""",Story of Seasons,2014,Nintendo 3DS:Nintendo,Natsume,4,major:majorish,arpeggiated,high reverb,no_drums,flute:woodwinds,acoustic guitar:guitar:plucked_strings,,,,,,,,,,,,,
Super Street Fighter IV,"""Theme of Zangief""",Street Fighter,2010,multiplatform:multiplatform,Capcom,4,aeolian:modal:minorish,--,high reverb,funk,horn_section:brass,saxophone:woodwinds,trombone:brass,electric_bass:bass,electric_organ:organ,drumset:drums,,,,,,,,,
Super Smash Brothers Melee,"""Icicle Mountain""",Super Smash Bros.,2001,Nintendo GameCube:Nintendo,Nintendo,4,major:majorish,--,high reverb,jazz,piano,extended_tertian,electric_piano:metallic_percussion:piano,strings:strings,synth_bass:synth:bass,drumset:drums,sweeps,sleigh_bells:metallic_percussion,synth_lead:synth,brass:brass,electric_guitar:guitar,walking_bass,80s,rapid_bass_line,
Tales of Graces,"""To a Sea of Dancing Snow""",Tales,2009,Nintendo Wii:Nintendo,Namco,4,minor:minorish,--,high reverb,rock,oboe:woodwinds,cymbals:metallic_percussion:percussion,electric_piano:metallic_percussion:piano,acoustic_bass:bass,celesta:metallic_percussion:percussion,,,,,,,,,,
Tales of Symphonia,"""Snow Light""",Tales,2004,Nintendo GameCube:Nintendo,Namco,3,major:majorish,arpeggiated,high reverb,,sleigh_bells:metallic_percussion,harp:plucked_strings:strings,piano,strings:strings,flute:woodwinds,glockenspiel:metallic_percussion:percussion,,,,,,,,,
The Legend of Heroes: Trails of Cold Steel II,"""Wintry Arrival""",The Legend of Heroes,2014,PlayStation 3:Sony,Falcom,4,minor:minorish,arpeggiated,high reverb,military,oboe:woodwinds,strings:strings,shaker:auxiliary_percussion,piano:piano,treble_vocal_synth:vocals:synth,flute:woodwinds,kalimba:metallic_percussion:percussion,tambourine:metallic_percussion:percussion,snare:drums:percussion,,,,,,
Pop'n TwinBee: Rainbow Bell Adventures,"""Aurora World""",Twinbee,1994,SNES:Nintendo,Konami,4,major:majorish,arpeggiated,high reverb,rock,flute:woodwinds,marimba:percussion,drumset:drums,electric_bass:bass,strings:strings,treble_vocal_synth:vocals:synth,,,,,,,,,
World of Warcraft: Wrath of the Lich King,"""Ice Fortress""",Warcraft,2008,computer:computer,Blizzard,6,major:majorish,arpeggiated,high reverb,no_drums,horn:brass,choir:vocals,flute:woodwinds,strings:strings,piano,harp:plucked_strings:strings,oboe:woodwinds,bassoon:woodwinds,orchestra,,,,,,
Xenoblade Chronicles,"""Snowy Mt. Valac (Night)""",Xenoblade Chronicles,2010,Nintendo Wii:Nintendo,Monolith Soft,4,aeolian:modal:minorish,arpeggiated,high reverb,rock,piano,cymbals:metallic_percussion:percussion,no_bass,choral_synth:synth:vocals,chromatic_mediants,,,,,,,,,,
Xenoblade Chronicles,"""Snowy Mt. Valac (Night)""",Xenoblade Chronicles,2010,Nintendo Wii:Nintendo,Monolith Soft,6,minor:minorish,arpeggiated,high reverb,no_drums,acoustic_guitar:guitar:plucked_strings,oboe:woodwinds,flute:woodwinds,no_bass,mandolin:guitar,strings:strings,harpsichord:plucked_strings,glockenspiel:metallic_percussion:percussion,celesta:metallic_percussion:percussion,crotales:metallic_percussion:percussion,piano:piano,,,,
The Legend of Zelda: Four Swords,"""Frozen Hyrule""",Zelda,2002,Nintendo GameBoy Advance:Nintendo,Nintendo,4,dorian:modal:minorish,arpeggiated,low reverb,no_drums,harp:plucked_strings:strings,pan_flute:woodwinds,strings:strings,sleigh_bells:metallic_percussion,glockenspiel:metallic_percussion:percussion,acoustic_bass:bass,snare:drums:percussion,trumpet:brass,crotales:metallic_percussion,,,,,,
Legend of Zelda: Ocarina of Time,"""Ice Cavern""",Zelda,1998,Nintendo 64:Nintendo,Nintendo,4,no tonality:no tonality,--,high reverb,no_drums,crotales:metallic_percussion:percussion,wind_effect,flute:woodwinds,,,,,,,,,,,,
Legend of Zelda: Twilight Princess,"""Snowpeak Ruins""",Zelda,2006,Nintendo GameCube:Nintendo,Nintendo,4,no tonality:no tonality,arpeggiated,high reverb,no_drums,treble_vocal_synth:vocals:synth,glockenspiel:metallic_percussion:percussion,pizz_strings:strings:plucked_strings,flute:woodwinds,,,,,,,,,,,
Zwei: The Ilvard Insurrection,"""Edge of Stars""",Zwei,2008,computer:computer,Falcom,3,minor:minorish,--,low reverb,--,oboe:woodwinds,flute:woodwinds,sleigh_bells:metallic_percussion,marimba:percussion,strings:strings,accordion,chimes:metallic_percussion:percussion,triangle:metallic_percussion:percussion,sitar:plucked_strings,shaker:auxiliary_percussion,bass_drum:drums,cymbals:metallic_percussion:percussion,hand_drums:drums,,
Undertale,"""Snowdin Town""",,2015,multiplatform:multiplatform,Toby Fox,4,,,,,,,,,,,,,,,,,,,