Game,Track title,Franchise,Year,Platform,Company,tag meter,tag tonality,arpeggiated,tag reverb,tag drums,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16
Mega Man 4,"""Dr. Cossack Stage 1""",Mega Man,1991,Nintendo Entertainment System:Nintendo,Capcom,4,minor:minorish,arpeggiated,high reverb,rock,no_bass,chiptune,drumset,,,,,,,,,,,,,
Mega Man & Bass,"""Coldman Stage""",Mega Man,1998,SNES:Nintendo,Capcom,4,minor:minorish,--,high reverb,breakbeat,vibraphone:metallic_percussion,synth_bass:bass,flute:woodwinds,strings,,drumset,lament,electric_guitar,,,,,,,,
Mega Man Zero 2,"""Ice Brain""",Mega Man,2003,Nintendo GameBoy Advance:Nintendo,Capcom,4,dorian:minorish,--,high reverb,disco,synth:synth,electric_guitar,drumset,oboe:woodwinds,electric_piano,lament,synth_arp:synth,synth_bass:bass,,,,,,,,
Super Street Fighter IV,"""Theme of Zangief""",Street Fighter,2010,multiplatform:multiplatform,Capcom,4,aeolian:minorish,--,high reverb,funk,horn_section:brass,saxophone:woodwinds,trombone:brass,electric_bass:bass,electric_organ,drumset,,,,,,,,,,
Mega Man X,"""Chill Penguin Stage""",Mega Man,1993,SNES:Nintendo,Capcom,4,aeolian:minorish,arpeggiated,high reverb,rock,synth_brass:synth,drumset,electric_bass:bass,glockenflute,,,,,,,,,,,,
Mega Man X2,"""Crystal Snail Stage""",Mega Man,1994,SNES:Nintendo,Capcom,3,dorian:minorish,--,high reverb,rock,electric_guitar,electric_bass:bass,vibraphone:metallic_percussion,strings,drumset,,,,,,,,,,,
Mega Man X3,"""Blizzard Buffalo Stage""",Mega Man,1995,multiplatform:multiplatform,Capcom,6,minor:minorish,--,high reverb,train,detuned,synth_pad:synth,brass:brass,electric_organ,drumset,,,,,,,,,,,
Mega Man X4,"""Frost Walrus Stage 2""",Mega Man,1997,multiplatform:multiplatform,Capcom,4,aeolian:minorish,--,high reverb,rock,electric_piano,acoustic_guitar:plucked_strings,glockenflute,treble_vocals:vocals,drumset,electric_bass:bass,wind_chimes:metallic_percussion,sweeps,chimes:metallic_percussion,,,,,,,
Mega Man Zero 3,"""Trail on Powdery Snow""",Mega Man,2004,Nintendo GameBoy Advance:Nintendo,Capcom,4,aeolian:minorish,arpeggiated,low reverb,rock,treble_vocals:vocals,electric_guitar,drumset,piano,train,synth_lead:synth,,,,,,,,,,
Mega Man ZX,"""Wonder Panorama""",Mega Man,2006,Nintendo DS:Nintendo,Capcom,4,major:majorish,arpeggiated,high reverb,EDM,treble_vocals:vocals,drumset,electric_bass:bass,chimes:metallic_percussion,glockenspiel:metallic_percussion,synth_arp:synth,strings,whistle_tone,electric_piano,,,,,,,
Castle Crashers,"""Winter Bliss""",n/a,2008,Xbox 360:Microsoft,The Behemoth,4,aeolian:minorish,arpeggiated,high reverb,EDM,synth_pad:synth,,synth_bass:bass,synth_lead:synth,sweeps,strings,drumset,,,,,,,,,
Persona 3 FES,"""The Snow Queen""",Persona,2008,PlayStation 2:Sony,Atlus,4,dorian:minorish,arpeggiated,high reverb,EDM,synth_bass:bass,electric_piano,piano,synth_pad:synth,electric_guitar,synth_arp:synth,drumset,,,,,,,,,
Mushihimesama Futari,"""Sea of Frozen Crystals""",Mushihimesama,2006,arcade:other,Cave,4,major:majorish,--,high reverb,EDM,synth_lead:synth,drumset,glockenspiel:metallic_percussion,detuned,synth_pad:synth,synth_bass:bass,,,,,,,,,,
Scott Pilgrim Vs. The World: The Game,"""Another Winter""",n/a,2010,multiplatform:multiplatform,Ubisoft,4,major:majorish,--,high reverb,rock,electric_guitar,synth_lead:synth,square_wave:synth,drumset,electric_bass:bass,,,,,,,,,,,
Revelations: Persona,"""Ice Castle""",Persona,1996,PlayStation:Sony,Atlus,4,minor:minorish,--,high reverb,rock,treble_vocals:vocals,piano,electric_guitar,drumset,marimba,handclaps:drums,sleigh_bells:metallic_percussion,shaker:auxiliary_percussion,electric_bass:bass,,,,,,,
Sonic Unleashed,"""Cool Edge (Day)""",Sonic,2008,multiplatform:multiplatform,Sonic Team,4,major:majorish,--,high reverb,rock,electric_guitar,breakbeat,electric_bass:bass,synth_pad:synth,sweeps,drumset,,,,,,,,,,
Gurumin,"""Jun Jun Jungle Gym""",n/a,2004,computer:computer,Falcom,4,aeolian:minorish,--,high reverb,breakbeat,electric_guitar,flute:woodwinds,gamelan:metallic_percussion,detuned,drumset,electric_bass:bass,whistle,agogo_bells:metallic_percussion,electric_organ,,,,,,,
Diddy Kong Racing,"""Frosty Village""",Donkey Kong,1997,Nintendo 64:Nintendo,Rare,4,major:majorish,--,low reverb,boogie-woogie,sleigh_bells:metallic_percussion,flute:woodwinds,electric_guitar,electric_organ,saxophone:woodwinds,piano,chimes:metallic_percussion,other_vocals:vocals,Christmas,glockenflute,piccolo:woodwinds,,,,,
Mario Kart 8,"""Mount Wario""",Mario,2014,Nintendo Wii U:Nintendo,Nintendo,4,major:majorish,--,low reverb,rock,violin,drumset,trumpet:brass,saxophone:woodwinds,jazz_orchestra,electric_guitar,piano,electric_bass:bass,,,,,,,,
Mario Kart 7,"""Rosalina's Ice World""",Mario,2011,Nintendo 3DS:Nintendo,Nintendo,4,major:majorish,,high reverb,EDM,organ,strings,sweeps,sleigh_bells:metallic_percussion,handclaps:drums,piano,drumset,glockenflute,electric_bass:bass,,,,,,,
Pokémon Mystery Dungeon: Gates to Infinity,"""Glacier Palace (Great Spire)""",Pokémon,2012,Nintendo 3DS:Nintendo,Chunsoft,4,dorian:minorish,--,high reverb,train,orchestra,flute:woodwinds,harp:plucked_strings,strings,other_vocals:vocals,horn:brass,timpani:drums,wind_chimes:metallic_percussion,chimes:metallic_percussion,cymbals:metallic_percussion,electric_piano,pizz_strings:plucked_strings,glockenspiel:metallic_percussion,drumset,lament,
Ace Combat 5: The Unsung War,"""Ice Cage""",Ace Combat,2004,PlayStation 2:Sony,Namco,5,aeolian:minorish,arpeggiated,high reverb,military,horn:brass,harp:plucked_strings,strings,timpani:drums,drumset,glockenspiel:metallic_percussion,distorted_drums:drums,,,,,,,,,
Pokémon Mystery Dungeon: Gates to Infinity,"""Great Glacier""",Pokémon,2012,Nintendo 3DS:Nintendo,Chunsoft,4,major:majorish,--,high reverb,military,chimes:metallic_percussion,strings,flute:woodwinds,cymbals:metallic_percussion,pennywhistle:woodwinds,glockenspiel:metallic_percussion,orchestra,snare:drums,,,,,,,,
Kirby's Epic Yarn,"""Snowy Fields""",Kirby,2010,Nintendo Wii:Nintendo,Nintendo,4,major:majorish,--,low reverb,Latin jazz,sleigh_bells:metallic_percussion,strings,harp:plucked_strings,flute:woodwinds,xylophone,English_horn:woodwinds,piano,tambourine:metallic_percussion,drumset,chimes:metallic_percussion,orchestra,glockenspiel:metallic_percussion,,,,
Harvest Moon 64,"""New Year’s Eve""",Story of Seasons,1999,Nintendo 64:Nintendo,Marvelous,4,major:majorish,arpeggiated,high reverb,,drumset,flute:woodwinds,harp:plucked_strings,piano,acoustic_guitar:plucked_strings,strings,,,,,,,,,,
Harvest Moon 64,"""Starry Night Festival""",Story of Seasons,1999,Nintendo 64:Nintendo,Marvelous,4,dorian:minorish,arpeggiated,low reverb,no_drums,tambourine:metallic_percussion,marimba,cowbell:metallic_percussion,flute:woodwinds,woodblock:auxiliary_percussion,strings,,,,,,,,,,
Harvest Moon 64,"""Winter Season""",Story of Seasons,1999,Nintendo 64:Nintendo,Marvelous,3,minor:minorish,arpeggiated,low reverb,waltz,sleigh_bells:metallic_percussion,lament,marimba,accordion,strings,guiro:auxiliary_percussion,clarinet:woodwinds,tambourine:metallic_percussion,,,,,,,,
Tales of Symphonia,"""Snow Light""",Tales,2004,Nintendo GameCube:Nintendo,Namco,3,major:majorish,arpeggiated,high reverb,waltz,sleigh_bells:metallic_percussion,harp:plucked_strings,piano,strings,flute:woodwinds,glockenspiel:metallic_percussion,drumset,,,,,,,,,
Stardew Valley,"""Nocturne of Ice""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,arpeggiated,high reverb,no_drums,vibraphone:metallic_percussion,xylophone,other_vocals:vocals,strings,cymbals:metallic_percussion,analog_synth:synth,clarinet:woodwinds,,,,,,,,,
Stardew Valley,"""The Wind Can Be Still""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,arpeggiated,high reverb,no_drums,treble_vocals:vocals,other_vocals:vocals,analog_synth:synth,aeolian,synth_bass:bass,,,,,,,,,,,
Stardew Valley,"""Ancient""",n/a,2016,multiplatform:multiplatform,Chucklefish,2,major:majorish,arpeggiated,high reverb,no_drums,marimba,piano,synth_bass:bass,sitar:plucked_strings,drumset,tambourine:metallic_percussion,rock,flute:woodwinds,,,,,,,,
Stardew Valley,"""Winter Festival""",n/a,2016,multiplatform:multiplatform,Chucklefish,2,major:majorish,arpeggiated,high reverb,no_drums,sleigh_bells:metallic_percussion,pizz_strings:plucked_strings,strings,harp:plucked_strings,flute:woodwinds,chimes:metallic_percussion,horn:brass,Christmas,tuba:brass,,,,,,,
Stardew Valley,"""Icicles""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,arpeggiated,high reverb,rock,chiptune,drumset,synth_bass:bass,synth_lead:synth,no_drums,,,,,,,,,,,
Stardew Valley,"""Cloth""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,major:majorish,--,high reverb,no_drums,piano,analog_synth:synth,flute:woodwinds,strings,,,,,,,,,,,,
Stardew Valley,"""Visitor to the Unknown""",n/a,2016,multiplatform:multiplatform,Chucklefish,4,dorian:minorish,arpeggiated,high reverb,rock,electric_bass:bass,treble_vocals:vocals,,electric_guitar,pan_flute:woodwinds,drumset,analog_synth:synth,glockenspiel:metallic_percussion,,,,,,,,
Legend of Zelda: Ocarina of Time,"""Ice Cavern""",Zelda,1998,Nintendo 64:Nintendo,Nintendo,4,no_tonality,--,high reverb,no_drums,crotales:metallic_percussion,wind_effect,flute:woodwinds,,,,,,,,,,,,,
Legend of Zelda: Twilight Princess,"""Snowpeak Ruins""",Zelda,2006,Nintendo GameCube:Nintendo,Nintendo,4,no_tonality,arpeggiated,high reverb,no_drums,treble_vocals:vocals,glockenspiel:metallic_percussion,pizz_strings:plucked_strings,flute:woodwinds,,,,,,,,,,,,
Harvest Moon: A Wonderful Life,"""Quiet Winter""",Story of Seasons,2003,Nintendo GameCube:Nintendo,Marvelous,3,major:majorish,arpeggiated,low reverb,,harp:plucked_strings,pizz_strings:plucked_strings,acoustic_guitar:plucked_strings,tambourine:metallic_percussion,electric_piano,shaker:auxiliary_percussion,hand_drums:drums,acoustic_bass:bass,,,,,,,,
Harvest Moon DS,"""Winter""",Story of Seasons,2005,Nintendo DS:Nintendo,Marvelous,4,lydian:majorish,--,high reverb,no_drums,piano,tambourine:metallic_percussion,sleigh_bells:metallic_percussion,flute:woodwinds,wind_chimes:metallic_percussion,pizz_strings:plucked_strings,oboe:woodwinds,harp:plucked_strings,,,,,,,,
Harvest Moon: Back to Nature,"""Winter""",Story of Seasons,1999,PlayStation:Sony,Marvelous,4,major:majorish,--,low reverb,no_drums,strings,harpsichord:plucked_strings,,,,,,,,,,,,,,
Harvest Moon 3D: A New Beginning,"""Winter""",Story of Seasons,2012,Nintendo 3DS:Nintendo,Marvelous,4,major:majorish,--,low reverb,no_drums,sleigh_bells:metallic_percussion,glockenspiel:metallic_percussion,strings,flute:woodwinds,chimes:metallic_percussion,shaker:auxiliary_percussion,tambourine:metallic_percussion,horn:brass,clarinet:woodwinds,,,,,,,
Harvest Moon,"""Winter""",Story of Seasons,1996,SNES:Nintendo,Marvelous,3,minor:minorish,--,high reverb,,accordion,horn:brass,strings,,,,,,,,,,,,,
Harvest Moon: Magical Melody,"""Winter""",Story of Seasons,2005,Nintendo GameCube:Nintendo,Marvelous,4,major:majorish,--,high reverb,--,hand_drums:drums,crotales:metallic_percussion,strings,tambourine:metallic_percussion,harp:plucked_strings,clarinet:woodwinds,triangle:metallic_percussion,drumset,electric_guitar,,,,,,,
Harvest Moon: Save the Homeland,"""Winter (Farm)""",Story of Seasons,2001,PlayStation 2:Sony,Marvelous,3,major:majorish,arpeggiated,high reverb,no_drums,glockenspiel:metallic_percussion,flute:woodwinds,pizz_strings:plucked_strings,lament,,,,,,,,,,,,
Harvest Moon: Save the Homeland,"""Winter (Town)""",Story of Seasons,2001,PlayStation 2:Sony,Marvelous,4,major:majorish,--,high reverb,rock,pan_flute:woodwinds,tambourine:metallic_percussion,drumset,pizz_strings:plucked_strings,strings,harp:plucked_strings,trumpet:brass,horn:brass,,,,,,,,
Harvest Moon: Tree of Tranquility,"""Winter""",Story of Seasons,2007,Nintendo Wii:Nintendo,Marvelous,6,major:majorish,arpeggiated,high reverb,--,piano,sine_wave:synth,strings,drumset,wind_chimes:metallic_percussion,toy_piano:metallic_percussion,synth_bass:bass,other_vocals:vocals,triangle:metallic_percussion,,,,,,,
Harvest Moon: Animal Parade,"""Winter (Day)""",Story of Seasons,2008,Nintendo Wii:Nintendo,Marvelous,4,major:majorish,arpeggiated,high reverb,--,glockenflute,drumset,strings,harp:plucked_strings,treble_vocals:vocals,piano,oboe:woodwinds,acoustic_bass:bass,,,,,,,,
Harvest Moon: Animal Parade,"""Winter (Night)""",Story of Seasons,2008,Nintendo Wii:Nintendo,Marvelous,4,major:majorish,arpeggiated,high reverb,no_drums,cymbals:metallic_percussion,vibraphone:metallic_percussion,electric_organ,electric_piano,clarinet:woodwinds,treble_vocals:vocals,tambourine:metallic_percussion,acoustic_bass:bass,triangle:metallic_percussion,strings,,,,,,
Harvest Moon: Hero of Leaf Valley,"""Winter""",Story of Seasons,2009,PlayStation Portable:Sony,Marvelous,3,major:majorish,arpeggiated,high reverb,no_drums,minor_iv,flute:woodwinds,vibraphone:metallic_percussion,acoustic_guitar:plucked_strings,clarinet:woodwinds,triangle:metallic_percussion,tambourine:metallic_percussion,glockenflute,,pizz_strings:plucked_strings,,,,,,
Harvest Moon: Friends of Mineral Town,"""Winter""",Story of Seasons,2003,Nintendo GameBoy Advance:Nintendo,Marvelous,4,minor:minorish,--,low reverb,no_drums,strings,lament,,,,,,,,,,,,,,
Harvest Moon DS: Island of Happiness,"""Winter""",Story of Seasons,2007,Nintendo DS:Nintendo,Marvelous,4,major:majorish,arpeggiated,low reverb,no_drums,sleigh_bells:metallic_percussion,pizz_strings:plucked_strings,strings,piano,electric_piano,flute:woodwinds,clarinet:woodwinds,glockenflute,,,,,,,,
Harvest Moon DS: Sunshine Islands,"""Winter""",Story of Seasons,2008,Nintendo DS:Nintendo,Marvelous,4,major:majorish,arpeggiated,low reverb,shuffle,xylophone,accordion,hand_drums:drums,electric_piano,sleigh_bells:metallic_percussion,flute:woodwinds,electric_organ,drumset,electric_bass:bass,guiro:auxiliary_percussion,,,,,,
Harvest Moon: The Tale of Two Towns,"""Winter""",Story of Seasons,2010,Nintendo DS:Nintendo,Marvelous,4,major:majorish,--,low reverb,Latin jazz,pan_flute:woodwinds,oboe:woodwinds,sleigh_bells:metallic_percussion,strings,acoustic_guitar:plucked_strings,hand_drums:drums,shaker:auxiliary_percussion,acoustic_bass:bass,chromatic_mediants,,,,,,,
Harvest Moon: Lost Valley,"""Winter (Day)""",Story of Seasons,2014,Nintendo 3DS:Nintendo,Natsume,4,major:majorish,arpeggiated,high reverb,no_drums,flute:woodwinds,acoustic_guitar:plucked_strings,wind_chimes:metallic_percussion,,synth_arp:synth,synth_lead:synth,square_wave:synth,electric_bass:bass,sleigh_bells:metallic_percussion,,,,,,,
Harvest Moon: Lost Valley,"""Winter (Night)""",Story of Seasons,2014,Nintendo 3DS:Nintendo,Natsume,4,major:majorish,arpeggiated,high reverb,no_drums,flute:woodwinds,acoustic_guitar:plucked_strings,,,,,,,,,,,,,,
Rune Factory: A Fantasy Harvest Moon,"""Winter""",Rune Factory,2006,Nintendo DS:Nintendo,Neverland,12,major:majorish,arpeggiated,high reverb,no_drums,harp:plucked_strings,glockenflute,treble_vocals:vocals,other_vocals:vocals,strings,acoustic_guitar:plucked_strings,triangle:metallic_percussion,4,harpsichord:plucked_strings,piano,pizz_strings:plucked_strings,,,,,
Rune Factory 2,"""Winter""",Rune Factory,2008,Nintendo DS:Nintendo,Neverland,6,major:majorish,arpeggiated,high reverb,,acoustic_guitar:plucked_strings,,electric_bass:bass,woodblock:auxiliary_percussion,organ,,,,,,,,,,,
Xenoblade Chronicles,"""Snowy Mt. Valac (Day)""",Xenoblade Chronicles,2010,Nintendo Wii:Nintendo,Monolith Soft,6,minor:minorish,arpeggiated,high reverb,no_drums,acoustic_guitar:plucked_strings,oboe:woodwinds,flute:woodwinds,no_bass,mandolin:plucked_strings,strings,harpsichord:plucked_strings,glockenspiel:metallic_percussion,celesta:metallic_percussion,crotales:metallic_percussion,piano,,,,,
Sonic Unleashed,"""Cool Edge (Night)""",Sonic,2008,multiplatform:multiplatform,Sonic Team,4,phrygian:minorish,--,high reverb,EDM,crotales:metallic_percussion,treble_vocals:vocals,kalimba:metallic_percussion,synth_bass:bass,synth_brass:synth,drumset,strings,piano,lament,accordion,,,,,,
Super Mario Galaxy,"""Freezeflame Galaxy (Ice)""",Mario,2007,Nintendo Wii:Nintendo,Nintendo,12,no_tonality,arpeggiated,high reverb,no_drums,harp:plucked_strings,electric_piano,flute:woodwinds,synth_arp:synth,treble_vocals:vocals,,,,,,,,,,,
Secret of Mana,"""A Wish…""",Mana,1993,SNES:Nintendo,Square Enix,3,aeolian:minorish,arpeggiated,high reverb,no_drums,flute:woodwinds,,,,,,,,,,,,,,,
Yooka-Laylee,"""Glitterglaze Glacier""",n/a,2017,multiplatform:multiplatform,Playtonic Games,4,major:majorish,arpeggiated,high reverb,no_drums,pizz_strings:plucked_strings,celesta:metallic_percussion,flute:woodwinds,horn:brass,chromatic_mediants,minor_iv,clarinet:woodwinds,harp:plucked_strings,strings,cymbals:metallic_percussion,glockenspiel:metallic_percussion,orchestra,,,,
Elder Scrolls II: Daggerfall,"""Treading Winter""",Elder Scrolls,1996,computer:computer,Bethesda,7,aeolian:minorish,arpeggiated,high reverb,no_drums,tambourine:metallic_percussion,other_vocals:vocals,wind_chimes:metallic_percussion,harp:plucked_strings,horn:brass,strings,flute:woodwinds,chromatic_mediants,glockenspiel:metallic_percussion,snare:drums,,,,,,
Persona 4,"""Snowflakes""",Persona,2012,PlayStation Vita:Sony,Atlus,4,major:majorish,--,high reverb,rock,treble_vocals:vocals,strings,piano,electric_bass:bass,drumset,,,,,,,,,,,
World of Warcraft: Wrath of the Lich King,"""Ice Fortress""",Warcraft,2008,computer:computer,Blizzard,6,major:majorish,arpeggiated,high reverb,no_drums,horn:brass,other_vocals:vocals,flute:woodwinds,strings,piano,harp:plucked_strings,oboe:woodwinds,bassoon:woodwinds,orchestra,,,,,,,
Runescape 3,"""Snowdrops""",n/a,2013,computer:computer,Jagex,4,aeolian:minorish,arpeggiated,high reverb,no_drums,orchestra,strings,horn:brass,cymbals:metallic_percussion,piano,recorder:woodwinds,oboe:woodwinds,clarinet:woodwinds,,,,,,,,
The Legend of Xanadu,"""The Ice Cave""",Dragon Slayer,1994,TurboGrafx-16:other,Falcom,3,minor:minorish,arpeggiated,high reverb,--,chiptune,,,,,,,,,,,,,,,
Mega Man,"""Iceman Stage""",Mega Man,1987,Nintendo Entertainment System:Nintendo,Capcom,4,mixolydian:majorish,--,high reverb,rock,chiptune,drumset,,,,,,,,,,,,,,
Persona 4,"""Christmas Eve""",Persona,2012,PlayStation Vita:Sony,Atlus,4,major:majorish,arpeggiated,low reverb,rock,synth_lead:synth,drumset,piano,electric_guitar,electric_bass:bass,Christmas,,,,,,,,,,
Persona 5,"""Christmas Eve [out]""",Persona,2016,PlayStation 4:Sony,Atlus,4,major:majorish,--,high reverb,rock,electric_organ,drumset,electric_bass:bass,Christmas,,,,,,,,,,,,
Persona 5,"""Christmas Eve [in]""",Persona,2016,PlayStation 4:Sony,Atlus,4,major:majorish,--,high reverb,rock,electric_organ,drumset,electric_bass:bass,Christmas,,,,,,,,,,,,
Final Fantasy XIV,"""Starlight Celebration""",Final Fantasy,2013,multiplatform:multiplatform,Square Enix,3,major:majorish,arpeggiated,high reverb,no_drums,treble_vocals:vocals,other_vocals:vocals,piano,strings,crotales:metallic_percussion,celesta:metallic_percussion,chimes:metallic_percussion,minor_iv,Christmas,glockenspiel:metallic_percussion,,,,,,
Kingdom Hearts II Final Mix,"""Christmas Town""",Kingdom Hearts,2007,PlayStation 2:Sony,Square Enix,4,major:majorish,,high reverb,light_drums,marimba,chimes:metallic_percussion,glockenspiel:metallic_percussion,orchestra,wind_chimes:metallic_percussion,sleigh_bells:metallic_percussion,flute:woodwinds,pizz_strings:plucked_strings,oboe:woodwinds,horn:brass,other_vocals:vocals,harp:plucked_strings,Christmas,cymbals:metallic_percussion,tambourine:metallic_percussion,
Donkey Kong Country 3: Dixie Kong’s Double Trouble!,"""Christmas Bonus Level""",Donkey Kong,1996,SNES:Nintendo,Rare,12,major:majorish,--,high reverb,no_drums,boogie-woogie,saxophone:woodwinds,chimes:metallic_percussion,electric_piano,electric_bass:bass,sleigh_bells:metallic_percussion,Christmas,,,,,,,,,
Overcooked! The Festive Seasoning,"""Menu Music""",Overcooked,2016,multiplatform:multiplatform,Team17,3,major:majorish,arpeggiated,high reverb,no_drums,treble_vocals:vocals,other_vocals:vocals,Christmas,flute:woodwinds,horn:brass,celesta:metallic_percussion,harp:plucked_strings,glockenspiel:metallic_percussion,strings,cymbals:metallic_percussion,trumpet:brass,,,,,
Overcooked! 2,"""Kevin’s Christmas Cracker Map""",Overcooked,2018,multiplatform:multiplatform,Team17,6,major:majorish,--,high reverb,rock,acoustic_guitar:plucked_strings,piano,brass:brass,clarinet:woodwinds,glockenspiel:metallic_percussion,chimes:metallic_percussion,pizz_strings:plucked_strings,orchestra,sleigh_bells:metallic_percussion,Christmas,drumset,xylophone,cymbals:metallic_percussion,,,
Overcooked! 2,"""Kevin’s Christmas Cracker Level""",Overcooked,2018,multiplatform:multiplatform,Team17,4,major:majorish,arpeggiated,high reverb,train,orchestra,chimes:metallic_percussion,clarinet:woodwinds,glockenspiel:metallic_percussion,xylophone,strings,brass:brass,Christmas,pizz_strings:plucked_strings,drumset,chromatic_mediants,,,,,
Overcooked! The Festive Seasoning,"""Level""",Overcooked,2016,multiplatform:multiplatform,Team17,4,minor:minorish,arpeggiated,high reverb,no_drums,strings,glockenspiel:metallic_percussion,,Christmas,,,,,,,,,,,,
Overcooked! The Festive Seasoning,"""Onion Wildfire""",Overcooked,2016,multiplatform:multiplatform,Team17,4,minor:minorish,arpeggiated,high reverb,no_drums,wind_effect,treble_vocals:vocals,harp:plucked_strings,strings,celesta:metallic_percussion,flute:woodwinds,horn:brass,orchestra,Christmas,lament,chromatic_mediants,clarinet:woodwinds,,,,
Pikmin 3,"""Fortress of Festivity!""",Pikmin,2013,Nintendo Wii U:Nintendo,Nintendo,4,mixolydian:majorish,,high reverb,rock,drumset,synth_lead:synth,harpsichord:plucked_strings,crotales:metallic_percussion,glockenspiel:metallic_percussion,celesta:metallic_percussion,other_vocals:vocals,Christmas,,,,,,,,
Super Mario Odyssey,"""Shiveria (Town)""",Mario,2017,Nintendo Switch:Nintendo,Nintendo,12,major:majorish,arpeggiated,high reverb,--,castanets:auxiliary_percussion,violin,hand_drums:drums,sleigh_bells:metallic_percussion,glockenspiel:metallic_percussion,triangle:metallic_percussion,horn:brass,mandolin:plucked_strings,toy_piano:metallic_percussion,marimba,bassoon:woodwinds,,,,,
Undertale,"""Snowdin Town""",n/a,2015,multiplatform:multiplatform,Toby Fox,4,major:majorish,arpeggiated,high reverb,no_drums,no_bass,piano,glockenspiel:metallic_percussion,pizz_strings:plucked_strings,sleigh_bells:metallic_percussion,violin,xylophone,chimes:metallic_percussion,strings,,,,,,,
Super Mario 3D Land,"""Snow Land""",Mario,2011,Nintendo 3DS:Nintendo,Nintendo,4,major:majorish,--,low reverb,no_drums,sleigh_bells:metallic_percussion,calliope:woodwinds,accordion,celesta:metallic_percussion,clarinet:woodwinds,no_bass,strings,piccolo:woodwinds,,,,,,,,
Soma Bringer,Snowy Foot of the Mountain,,,,,3,aeolian:minorish,arpeggiated,high reverb,--,electric_piano,treble_vocals:vocals,drumset,pizz_strings:plucked_strings,clarinet:woodwinds,castanets:auxiliary_percussion,electric_bass:bass,harp:plucked_strings,strings,vibraphone:metallic_percussion,piano,,,,,